Id,R,Nome,Squadra,Pg,Mv,Mf,Gf,Gs,Rp,Rc,R+,R-,Ass,Asf,Amm,Esp,Au,,IV,FV,D,BID,ln(Bid),FV 19/20,FV 20/21,2 YR AVG,PREDICTED VALUE
4390,C,ANDERSON D.,Lazio,3,5.5,5.5,0,0,0,0,0,0,0,0,0,0,0,,1,2,1,,,,5.5,,22.50051374
5415,A,TRAORE' C.,Parma,3,5.5,5.5,0,0,0,0,0,0,0,0,0,0,0,,1,2,1,,,,5.5,,22.50051374
5320,P,PALEARI,Genoa,3,6.17,5.17,0,3,0,0,0,0,0,0,0,0,0,,1,2,1,,,,6.17,,11.71573053
5341,C,EBOA EBONGUE,Genoa,3,6.5,7.5,0,0,0,0,0,0,1,0,0,0,0,,1,1,0,,,,6.5,,87.86283621
2745,D,CALABRESI,Cagliari,3,6,6,0,0,0,0,0,0,0,0,0,0,0,,1,1,0,,,,6,,38.84109436
4945,D,CALAFIORI,Roma,3,6,5.5,0,0,0,0,0,0,0,0,2,0,0,,1,1,0,,,,6,,22.50051374
4953,C,PALUMBO,Udinese,3,5,5,0,0,0,0,0,0,0,0,0,0,0,,1,1,0,,,,5,,6.159933125
490,D,REGINI,Sampdoria,3,4.5,2.5,0,0,0,0,0,0,0,0,0,0,1,,1,1,0,,,,4.5,,-75.54296996
1979,D,BARRECA,Fiorentina,3,5.75,5.75,0,0,0,0,0,0,0,0,0,0,0,,3,1,-2,,,,5.75,,30.67080405
1843,P,RADU I.,Inter,2,6,5.5,0,1,0,0,0,0,0,0,0,0,0,,1,4,3,,,,6,,22.50051374
2087,D,OLIVERA M.,Fiorentina,2,6,6,0,0,0,0,0,0,0,0,0,0,0,,1,2,1,,,,6,,38.84109436
5385,D,ZAGARITIS,Parma,2,6,6,0,0,0,0,0,0,0,0,0,0,0,,1,2,1,,,,6,,38.84109436
412,P,COLOMBI,Parma,2,6,2.5,0,7,0,0,0,0,0,0,0,0,0,,1,1,0,,,,6,,-75.54296996
4353,C,MONTIEL,Fiorentina,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,0,,,,0,,-157.2458731
1950,D,MAZZOTTA,Crotone,2,4.5,4,0,0,0,0,0,0,0,0,1,0,0,,4,1,-3,,,,4.5,,-26.52122811
4520,P,LETICA,Sampdoria,1,6.5,6.5,0,0,0,0,0,0,0,0,0,0,0,,1,3,2,,,,6.5,,55.18167498
5289,P,CRESPI,Crotone,1,6.5,6.5,0,0,0,0,0,0,0,0,0,0,0,,1,3,2,,,,6.5,,55.18167498
1890,P,FESTA,Crotone,1,7,6,0,1,0,0,0,0,0,0,0,0,0,,1,3,2,,,,7,,38.84109436
4491,P,BERARDI A.,Verona,1,6,6,0,0,0,0,0,0,0,0,0,0,0,,1,3,2,,,,6,,38.84109436
5422,C,ZALEWSKI,Roma,1,6,7,0,0,0,0,0,0,1,0,0,0,0,,1,2,1,,,,6,,71.5222556
5439,A,KALLON,Genoa,1,6.5,6.5,0,0,0,0,0,0,0,0,0,0,0,,1,2,1,,,,6.5,,55.18167498
2794,A,MICIN,Udinese,1,5.5,5.5,0,0,0,0,0,0,0,0,0,0,0,,1,2,1,,,,5.5,,22.50051374
220,P,UJKANI,Torino,1,6,5,0,1,0,0,0,0,0,0,0,0,0,,1,2,1,,,,6,,6.159933125
543,P,PADELLI,Inter,1,6,5,0,1,0,0,0,0,0,0,0,0,0,,1,2,1,,,,6,,6.159933125
1930,P,PINSOGLIO,Juventus,1,6,5,0,1,0,0,0,0,0,0,0,0,0,,1,2,1,,,,6,,6.159933125
454,D,CAPRADOSSI,Spezia,1,6.5,6.5,0,0,0,0,0,0,0,0,0,0,0,,3,3,0,,,,6.5,,55.18167498
510,P,PEGOLO,Sassuolo,1,6.5,6.5,0,0,0,0,0,0,0,0,0,0,0,,1,1,0,,,,6.5,,55.18167498
